"","text","name","handle"
"101","@Pure957fm @djsliming @kooSebor @kanyewest @MaseBillion Herr a program u cannot even miss wen u are sick this is in… https://t.co/DrCA86OKId","Kanye West","@KanyeWest"
"102","RT @joeyvantes: .@kanyewest So here go my single, dawg, radio needs this
They say you can rap about anything except for Jesus
That means gu…","Kanye West","@KanyeWest"
"103","RT @Rhuffles: @kanyewest Cuz you need to Kanye Rest","Kanye West","@KanyeWest"
"104","@kanyewest GOOD morning, I had to get a 7.5 in the clay but they still feel so comfy. Thank you so much.I'm going t… https://t.co/Vq6GfwuUuh","Kanye West","@KanyeWest"
"105","@nostearleftocry @outofthewoodmp3 @chartdata @kanyewest @PUSHA_T Ariana stans don’t unfollow me omg I like Ariana😌","Kanye West","@KanyeWest"
"106","@Rharr_15 @Jaboowins @jalenramsey @_fournette @TelvinSmith_22 @KingJames @ochocinco @adidasFballUS @CamNewton7v7… https://t.co/l2z8d8QF4S","Kanye West","@KanyeWest"
"107","@kanyewest can’t buy his hood pass back with just music, but this a good start. 
Kanye West Ghost Town Gospel Versi… https://t.co/9FVwkFSAl2","Kanye West","@KanyeWest"
"108","The Best Music The Best Variety Lift Yourself (PO Clean Edit) by @kanyewest https://t.co/Ykcg1tHjxH https://t.co/BtYH52a33a","Kanye West","@KanyeWest"
"109","@nostearleftocry @outofthewoodmp3 @chartdata @kanyewest @PUSHA_T Reputation sps sold 4m+ sweetener+thank you next 3… https://t.co/Rs5T3dmxRv","Kanye West","@KanyeWest"
"110","@HipHopWired @Bossip There are no better marketers than the. #kardashian clan including @kanyewest — got #hiphop he… https://t.co/YiK8O1IxFq","Kanye West","@KanyeWest"
"111","RT @kanyewest: I’m not taking no advice for the rest of my life","Kanye West","@KanyeWest"
"112","RT @102_JAMZ: Y'all please settle an argument #3livecrew is having in the studio...

Is 'Jesus Walks' by @kanyewest a gospel song??","Kanye West","@KanyeWest"
"113","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"114","RT @kanyewest: We feel the love","Kanye West","@KanyeWest"
"115","Sunday Service needs to tour (worldwide) @kanyewest #SundayService","Kanye West","@KanyeWest"
"116","KIM KARDASHIAN leaving Hotel Bel Air  (January 4, 2017) @KimKardashian @kanyewest #kimkardashian https://t.co/byMAfbBE40","Kanye West","@KanyeWest"
"117","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"118","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"119","RT @kanyewest: I be taking naps","Kanye West","@KanyeWest"
"120","@adidas #Fail A terrible job with the new @kanyewest #Yeezy release Saturday. I was in the waiting room for THREE h… https://t.co/WGhR788X1J","Kanye West","@KanyeWest"
"121","@stevebartlettsc @kanyewest Looks fire! 🔥","Kanye West","@KanyeWest"
"122","@kanyewest Why can’t we dislike post ?","Kanye West","@KanyeWest"
